id	idx_fundamento_llm	idx_fundamento_exp	idx_evidencias_llm	idx_evidencias_exp	idx_riscos_llm	idx_riscos_exp	idx_impacto_llm	idx_impacto_exp
51	0,992	0,988	0,983	0,979	0,979	0,980	0,964	0,957
52	0,981	0,988	0,978	0,978	0,974	0,984	0,951	0,951
53	0,981	0,986	0,978	0,979	0,979	0,982	0,966	0,951
54	0,982	0,996	0,978	0,978	0,971	0,984	0,966	0,957
55	0,981	0,988	0,978	0,978	0,971	0,980	0,966	0,957
56	0,981	0,996	0,979	0,984	0,979	0,980	0,951	0,966
57	0,982	0,988	0,979	0,980	0,969	0,980	0,951	0,966
58	0,992	0,988	0,979	0,980	0,979	0,979	0,957	0,966
59	0,981	0,996	0,979	0,980	0,974	0,979	0,957	0,951
60	0,982	0,996	0,979	0,980	0,979	0,979	0,966	0,964
61	0,992	0,986	0,978	0,979	0,979	0,980	0,957	0,957
62	0,985	0,986	0,979	0,984	0,971	0,982	0,957	0,966
63	0,985	0,988	0,978	0,979	0,979	0,980	0,966	0,951
64	0,981	0,986	0,978	0,978	0,969	0,979	0,964	0,966
65	0,982	0,986	0,983	0,978	0,979	0,979	0,951	0,966
66	0,992	0,996	0,978	0,984	0,979	0,980	0,966	0,957
67	0,982	0,988	0,978	0,979	0,979	0,984	0,951	0,964
68	0,985	0,996	0,979	0,979	0,979	0,979	0,966	0,957
69	0,992	0,988	0,983	0,978	0,979	0,984	0,951	0,966
70	0,982	0,986	0,983	0,979	0,971	0,984	0,951	0,966
71	0,982	0,986	0,979	0,978	0,971	0,979	0,957	0,966
72	0,981	0,996	0,983	0,978	0,971	0,979	0,964	0,957
73	0,992	0,996	0,983	0,984	0,971	0,982	0,951	0,966
74	0,981	0,988	0,979	0,984	0,974	0,982	0,964	0,951
75	0,981	0,986	0,978	0,979	0,979	0,980	0,964	0,966
76	0,985	0,986	0,983	0,979	0,974	0,982	0,966	0,951
77	0,981	0,986	0,983	0,978	0,974	0,979	0,957	0,966
78	0,981	0,996	0,978	0,979	0,974	0,982	0,964	0,964
79	0,981	0,986	0,983	0,978	0,971	0,982	0,957	0,964
80	0,985	0,986	0,979	0,984	0,979	0,982	0,957	0,957
81	0,982	0,988	0,979	0,979	0,979	0,980	0,951	0,964
82	0,985	0,986	0,978	0,978	0,979	0,980	0,964	0,966
83	0,985	0,988	0,979	0,984	0,974	0,980	0,957	0,957
84	0,981	0,988	0,983	0,979	0,971	0,984	0,964	0,966
85	0,992	0,988	0,978	0,979	0,969	0,980	0,966	0,951
86	0,981	0,988	0,979	0,978	0,971	0,984	0,957	0,957
87	0,985	0,986	0,978	0,984	0,971	0,984	0,966	0,951
88	0,992	0,986	0,978	0,978	0,979	0,980	0,957	0,957
89	0,985	0,996	0,979	0,980	0,969	0,982	0,966	0,966
90	0,985	0,996	0,983	0,980	0,979	0,984	0,966	0,964
91	0,992	0,996	0,979	0,980	0,971	0,980	0,951	0,966
92	0,982	0,996	0,983	0,978	0,979	0,980	0,957	0,966
93	0,985	0,988	0,978	0,979	0,979	0,979	0,951	0,964
94	0,992	0,996	0,978	0,980	0,969	0,979	0,951	0,964
95	0,985	0,988	0,979	0,979	0,969	0,982	0,957	0,966
96	0,985	0,988	0,978	0,978	0,974	0,984	0,966	0,951
97	0,981	0,996	0,983	0,978	0,974	0,980	0,964	0,964
98	0,992	0,986	0,979	0,984	0,971	0,982	0,966	0,951
99	0,982	0,988	0,979	0,978	0,979	0,979	0,957	0,966
100	0,992	0,996	0,983	0,979	0,971	0,979	0,966	0,966
101	0,982	0,988	0,979	0,979	0,971	0,979	0,951	0,966
102	0,982	0,988	0,978	0,980	0,979	0,979	0,966	0,951
103	0,992	0,996	0,978	0,979	0,974	0,980	0,951	0,966
104	0,992	0,988	0,978	0,980	0,969	0,979	0,964	0,951
105	0,992	0,996	0,978	0,984	0,971	0,980	0,951	0,951
106	0,992	0,996	0,978	0,978	0,974	0,984	0,957	0,951
107	0,982	0,996	0,979	0,984	0,979	0,984	0,957	0,957
108	0,981	0,988	0,978	0,979	0,969	0,980	0,964	0,964
109	0,981	0,988	0,979	0,979	0,979	0,979	0,966	0,966
110	0,992	0,988	0,979	0,978	0,974	0,982	0,966	0,964
111	0,985	0,996	0,978	0,978	0,971	0,980	0,966	0,951
112	0,981	0,986	0,979	0,979	0,971	0,980	0,957	0,964
113	0,992	0,996	0,979	0,978	0,979	0,979	0,957	0,966
114	0,981	0,988	0,979	0,980	0,969	0,980	0,966	0,966
115	0,982	0,996	0,983	0,980	0,971	0,979	0,966	0,964
116	0,982	0,988	0,978	0,978	0,969	0,982	0,966	0,966
117	0,981	0,988	0,983	0,979	0,979	0,980	0,964	0,957
118	0,992	0,988	0,979	0,984	0,969	0,984	0,964	0,964
119	0,982	0,996	0,979	0,979	0,979	0,984	0,964	0,964
120	0,992	0,986	0,979	0,979	0,974	0,979	0,957	0,951
121	0,981	0,988	0,978	0,979	0,979	0,979	0,951	0,966
122	0,992	0,988	0,978	0,984	0,971	0,979	0,966	0,964
123	0,992	0,986	0,978	0,979	0,979	0,980	0,966	0,966
124	0,985	0,988	0,983	0,978	0,971	0,980	0,964	0,957
125	0,992	0,996	0,978	0,978	0,979	0,982	0,966	0,957
126	0,982	0,996	0,978	0,979	0,971	0,982	0,964	0,951
127	0,982	0,988	0,978	0,980	0,974	0,982	0,957	0,964
128	0,982	0,988	0,978	0,978	0,971	0,980	0,951	0,964
129	0,982	0,988	0,978	0,979	0,979	0,982	0,964	0,957
130	0,982	0,988	0,978	0,978	0,971	0,982	0,957	0,951
131	0,992	0,988	0,979	0,980	0,974	0,982	0,966	0,966
132	0,982	0,996	0,978	0,978	0,974	0,980	0,957	0,951
133	0,992	0,988	0,979	0,980	0,979	0,982	0,966	0,966
134	0,982	0,988	0,978	0,980	0,969	0,982	0,957	0,966
135	0,981	0,988	0,978	0,984	0,979	0,984	0,964	0,964
136	0,992	0,996	0,978	0,978	0,969	0,980	0,966	0,966
137	0,981	0,988	0,978	0,979	0,971	0,982	0,966	0,957
138	0,992	0,986	0,983	0,979	0,971	0,979	0,957	0,957
139	0,992	0,996	0,983	0,980	0,969	0,979	0,951	0,957
140	0,981	0,986	0,978	0,980	0,971	0,979	0,957	0,964
141	0,981	0,988	0,978	0,984	0,979	0,982	0,951	0,966
142	0,982	0,986	0,983	0,979	0,979	0,980	0,966	0,966
143	0,981	0,988	0,978	0,979	0,971	0,984	0,957	0,966
144	0,982	0,988	0,978	0,978	0,971	0,982	0,957	0,957
145	0,985	0,988	0,978	0,980	0,974	0,982	0,957	0,964
146	0,985	0,996	0,978	0,980	0,974	0,980	0,966	0,964
147	0,985	0,996	0,978	0,979	0,979	0,980	0,966	0,966
148	0,981	0,986	0,978	0,980	0,974	0,982	0,957	0,964
149	0,985	0,988	0,983	0,980	0,974	0,979	0,951	0,966
150	0,985	0,988	0,978	0,979	0,974	0,980	0,964	0,964
151	0,992	0,996	0,978	0,984	0,969	0,982	0,951	0,966
152	0,985	0,996	0,983	0,984	0,974	0,979	0,951	0,966
153	0,981	0,986	0,978	0,984	0,979	0,979	0,966	0,966
154	0,985	0,986	0,983	0,984	0,979	0,984	0,964	0,951
155	0,992	0,988	0,979	0,978	0,969	0,980	0,964	0,957
156	0,985	0,988	0,978	0,979	0,979	0,984	0,966	0,957
157	0,981	0,996	0,979	0,978	0,971	0,980	0,966	0,964
158	0,992	0,996	0,983	0,978	0,969	0,982	0,966	0,964
159	0,985	0,986	0,979	0,979	0,979	0,980	0,964	0,964
160	0,992	0,988	0,978	0,980	0,974	0,982	0,964	0,966
161	0,982	0,988	0,983	0,978	0,971	0,979	0,957	0,951
162	0,992	0,996	0,978	0,980	0,971	0,980	0,951	0,964
163	0,985	0,986	0,983	0,984	0,971	0,979	0,966	0,964
164	0,992	0,986	0,979	0,984	0,969	0,980	0,966	0,964
165	0,992	0,988	0,979	0,980	0,974	0,984	0,957	0,957
166	0,981	0,986	0,983	0,978	0,979	0,979	0,966	0,964
167	0,992	0,996	0,979	0,984	0,974	0,979	0,951	0,951
168	0,992	0,996	0,978	0,979	0,969	0,984	0,951	0,966
169	0,992	0,988	0,983	0,978	0,979	0,984	0,957	0,957
170	0,982	0,988	0,978	0,984	0,969	0,980	0,966	0,966
171	0,982	0,988	0,983	0,979	0,969	0,980	0,957	0,957
172	0,982	0,988	0,978	0,978	0,969	0,980	0,966	0,966
173	0,992	0,996	0,979	0,979	0,974	0,984	0,964	0,951
174	0,992	0,986	0,978	0,984	0,979	0,984	0,966	0,957
175	0,981	0,988	0,978	0,984	0,979	0,982	0,964	0,966
176	0,982	0,986	0,979	0,984	0,969	0,979	0,957	0,951
177	0,981	0,988	0,978	0,978	0,971	0,982	0,957	0,951
178	0,982	0,988	0,978	0,979	0,969	0,980	0,964	0,951
179	0,985	0,988	0,978	0,984	0,969	0,982	0,951	0,964
180	0,981	0,986	0,979	0,978	0,974	0,979	0,964	0,951
181	0,981	0,986	0,979	0,984	0,969	0,984	0,966	0,964
182	0,992	0,988	0,983	0,979	0,974	0,979	0,951	0,964
183	0,985	0,988	0,979	0,979	0,969	0,979	0,951	0,964
184	0,982	0,996	0,978	0,984	0,969	0,984	0,957	0,951
185	0,992	0,986	0,978	0,984	0,974	0,979	0,964	0,957
186	0,985	0,988	0,978	0,980	0,971	0,984	0,957	0,966
187	0,992	0,988	0,983	0,984	0,974	0,979	0,957	0,957
188	0,985	0,986	0,983	0,978	0,969	0,979	0,951	0,951
189	0,992	0,986	0,978	0,980	0,979	0,980	0,957	0,957
190	0,985	0,988	0,983	0,978	0,969	0,980	0,951	0,951
191	0,981	0,988	0,978	0,980	0,979	0,980	0,964	0,957
192	0,992	0,988	0,979	0,980	0,971	0,984	0,964	0,951
193	0,985	0,996	0,978	0,979	0,971	0,982	0,966	0,957
194	0,992	0,988	0,978	0,979	0,979	0,979	0,964	0,966
195	0,982	0,996	0,978	0,980	0,969	0,980	0,964	0,957
196	0,992	0,996	0,978	0,984	0,971	0,982	0,957	0,966
197	0,982	0,986	0,978	0,979	0,971	0,979	0,966	0,964
198	0,982	0,988	0,978	0,979	0,969	0,980	0,951	0,951
199	0,985	0,996	0,979	0,984	0,971	0,979	0,966	0,957
200	0,981	0,988	0,979	0,978	0,969	0,982	0,951	0,966
201	0,981	0,996	0,983	0,979	0,974	0,982	0,966	0,964
202	0,981	0,996	0,978	0,979	0,979	0,982	0,964	0,966
203	0,992	0,986	0,978	0,979	0,969	0,980	0,957	0,951
204	0,992	0,988	0,983	0,984	0,974	0,982	0,964	0,964
205	0,981	0,996	0,978	0,979	0,969	0,980	0,964	0,957
206	0,992	0,986	0,983	0,984	0,971	0,980	0,966	0,964
207	0,982	0,996	0,978	0,984	0,971	0,984	0,964	0,951
208	0,992	0,996	0,979	0,980	0,971	0,982	0,951	0,957
209	0,992	0,988	0,983	0,984	0,974	0,984	0,957	0,966
210	0,992	0,988	0,978	0,980	0,979	0,979	0,964	0,966
211	0,985	0,986	0,978	0,978	0,979	0,980	0,964	0,957
212	0,992	0,988	0,983	0,979	0,971	0,980	0,957	0,951
213	0,982	0,988	0,978	0,984	0,971	0,982	0,964	0,951
214	0,992	0,986	0,983	0,978	0,971	0,980	0,951	0,964
215	0,982	0,996	0,983	0,978	0,971	0,979	0,964	0,966
216	0,992	0,986	0,983	0,978	0,969	0,982	0,957	0,957
217	0,981	0,986	0,978	0,984	0,971	0,984	0,966	0,964
218	0,992	0,996	0,983	0,984	0,979	0,982	0,966	0,957
219	0,992	0,986	0,978	0,984	0,971	0,980	0,951	0,951
220	0,985	0,986	0,978	0,978	0,974	0,984	0,964	0,957
221	0,992	0,986	0,979	0,978	0,969	0,979	0,966	0,951
222	0,981	0,986	0,983	0,980	0,969	0,982	0,951	0,957
223	0,982	0,996	0,978	0,978	0,979	0,980	0,966	0,951
224	0,992	0,988	0,978	0,984	0,969	0,979	0,951	0,966
225	0,982	0,988	0,978	0,984	0,969	0,984	0,957	0,964
226	0,985	0,988	0,983	0,980	0,969	0,984	0,966	0,966
227	0,992	0,988	0,978	0,980	0,969	0,979	0,966	0,951
228	0,985	0,988	0,979	0,984	0,974	0,984	0,966	0,966
229	0,985	0,986	0,983	0,979	0,971	0,979	0,957	0,957
230	0,985	0,988	0,978	0,979	0,969	0,982	0,966	0,951
231	0,981	0,986	0,983	0,979	0,974	0,984	0,951	0,966
232	0,982	0,986	0,978	0,978	0,974	0,984	0,964	0,966
233	0,985	0,988	0,983	0,978	0,971	0,982	0,964	0,966
234	0,981	0,986	0,979	0,978	0,971	0,982	0,964	0,966
235	0,982	0,996	0,978	0,980	0,974	0,980	0,966	0,957
236	0,985	0,986	0,979	0,979	0,979	0,980	0,966	0,957
237	0,992	0,988	0,978	0,978	0,979	0,979	0,957	0,957
238	0,981	0,986	0,983	0,978	0,971	0,980	0,951	0,957
239	0,982	0,996	0,978	0,979	0,974	0,984	0,951	0,966
240	0,985	0,986	0,978	0,979	0,971	0,980	0,966	0,964
241	0,985	0,986	0,978	0,978	0,974	0,980	0,966	0,957
242	0,982	0,988	0,979	0,980	0,971	0,984	0,951	0,951
243	0,982	0,986	0,978	0,984	0,974	0,979	0,951	0,964
244	0,982	0,986	0,978	0,980	0,979	0,982	0,966	0,951
245	0,992	0,988	0,979	0,984	0,979	0,980	0,966	0,957
246	0,992	0,996	0,979	0,978	0,979	0,980	0,964	0,966
247	0,981	0,988	0,978	0,979	0,971	0,979	0,964	0,951
248	0,985	0,986	0,979	0,979	0,971	0,984	0,966	0,951
249	0,992	0,988	0,978	0,984	0,979	0,979	0,957	0,966
250	0,981	0,996	0,979	0,979	0,979	0,979	0,964	0,964
251	0,985	0,996	0,978	0,984	0,969	0,980	0,964	0,951
252	0,981	0,988	0,979	0,978	0,971	0,979	0,964	0,964
253	0,992	0,996	0,979	0,979	0,969	0,984	0,966	0,957
254	0,982	0,988	0,978	0,980	0,979	0,979	0,951	0,951
255	0,992	0,988	0,979	0,980	0,979	0,984	0,951	0,966
256	0,985	0,988	0,978	0,979	0,979	0,984	0,957	0,966
257	0,982	0,986	0,983	0,980	0,969	0,979	0,964	0,957
258	0,982	0,986	0,979	0,978	0,971	0,979	0,966	0,957
259	0,992	0,996	0,979	0,979	0,971	0,982	0,951	0,951
260	0,985	0,988	0,983	0,980	0,979	0,980	0,966	0,951
261	0,982	0,988	0,978	0,980	0,979	0,980	0,957	0,964
262	0,982	0,996	0,979	0,984	0,969	0,982	0,957	0,951
263	0,985	0,988	0,979	0,978	0,974	0,984	0,957	0,964
264	0,981	0,986	0,978	0,980	0,971	0,984	0,964	0,957
265	0,982	0,996	0,978	0,979	0,969	0,980	0,951	0,957
266	0,981	0,988	0,983	0,978	0,971	0,984	0,964	0,951
267	0,981	0,996	0,978	0,984	0,971	0,979	0,951	0,957
268	0,981	0,988	0,983	0,978	0,969	0,984	0,951	0,951
269	0,982	0,986	0,979	0,980	0,969	0,982	0,964	0,966
270	0,982	0,996	0,979	0,978	0,971	0,979	0,951	0,964
271	0,981	0,988	0,978	0,978	0,974	0,982	0,951	0,957
272	0,992	0,988	0,983	0,978	0,969	0,984	0,957	0,951
273	0,992	0,996	0,979	0,980	0,969	0,984	0,957	0,957
274	0,981	0,988	0,979	0,984	0,971	0,980	0,966	0,951
275	0,985	0,988	0,979	0,984	0,969	0,980	0,966	0,964
276	0,981	0,988	0,978	0,984	0,974	0,982	0,966	0,957
277	0,992	0,988	0,978	0,978	0,971	0,982	0,957	0,964
278	0,982	0,988	0,978	0,978	0,971	0,979	0,966	0,957
279	0,992	0,988	0,978	0,980	0,979	0,984	0,957	0,957
280	0,982	0,988	0,979	0,979	0,979	0,979	0,966	0,951
281	0,982	0,996	0,978	0,980	0,971	0,982	0,957	0,951
282	0,981	0,988	0,978	0,979	0,969	0,979	0,964	0,957
283	0,982	0,996	0,978	0,984	0,979	0,982	0,957	0,964
284	0,982	0,986	0,978	0,984	0,969	0,984	0,966	0,957
285	0,985	0,988	0,979	0,984	0,971	0,980	0,957	0,957
286	0,985	0,988	0,983	0,979	0,969	0,980	0,951	0,957
287	0,981	0,986	0,978	0,979	0,971	0,980	0,964	0,951
288	0,982	0,986	0,979	0,979	0,971	0,982	0,966	0,951
289	0,985	0,988	0,979	0,979	0,974	0,984	0,957	0,957
290	0,992	0,988	0,979	0,984	0,979	0,984	0,951	0,966
291	0,985	0,986	0,978	0,979	0,971	0,980	0,951	0,964
292	0,992	0,988	0,978	0,980	0,974	0,982	0,951	0,964
293	0,982	0,988	0,978	0,984	0,974	0,979	0,964	0,966
294	0,992	0,996	0,978	0,984	0,969	0,980	0,957	0,951
295	0,992	0,986	0,978	0,978	0,979	0,984	0,951	0,964
296	0,981	0,988	0,983	0,980	0,974	0,982	0,957	0,964
297	0,985	0,996	0,983	0,980	0,971	0,982	0,957	0,951
298	0,985	0,996	0,978	0,980	0,969	0,979	0,966	0,964
299	0,982	0,986	0,979	0,984	0,971	0,984	0,951	0,957
300	0,992	0,996	0,983	0,984	0,979	0,980	0,966	0,957
301	0,981	0,988	0,978	0,978	0,969	0,984	0,957	0,957
302	0,985	0,996	0,983	0,984	0,971	0,982	0,957	0,951
303	0,985	0,996	0,978	0,979	0,969	0,982	0,966	0,957
304	0,981	0,988	0,979	0,978	0,971	0,979	0,964	0,966
305	0,982	0,986	0,978	0,978	0,974	0,984	0,957	0,964
306	0,985	0,996	0,983	0,980	0,969	0,979	0,951	0,966
307	0,985	0,988	0,983	0,979	0,971	0,980	0,951	0,964
308	0,982	0,988	0,979	0,980	0,979	0,980	0,957	0,951
309	0,981	0,988	0,979	0,978	0,971	0,984	0,957	0,964
310	0,982	0,996	0,978	0,979	0,979	0,979	0,957	0,957
311	0,982	0,988	0,978	0,980	0,969	0,979	0,951	0,964
312	0,992	0,986	0,983	0,978	0,969	0,980	0,951	0,951
313	0,992	0,986	0,978	0,978	0,974	0,980	0,957	0,951
314	0,981	0,996	0,979	0,980	0,971	0,984	0,951	0,964
315	0,992	0,986	0,979	0,978	0,974	0,984	0,957	0,966
316	0,985	0,996	0,983	0,984	0,971	0,984	0,951	0,964
317	0,982	0,996	0,978	0,980	0,974	0,979	0,951	0,957
318	0,985	0,988	0,978	0,978	0,974	0,984	0,951	0,957
319	0,982	0,996	0,979	0,979	0,979	0,984	0,966	0,957
320	0,992	0,986	0,979	0,978	0,979	0,984	0,966	0,957
321	0,982	0,986	0,978	0,979	0,979	0,980	0,957	0,966
322	0,982	0,986	0,978	0,978	0,974	0,984	0,964	0,957
323	0,982	0,986	0,979	0,980	0,971	0,982	0,951	0,964
324	0,981	0,988	0,978	0,984	0,979	0,982	0,966	0,964
325	0,985	0,996	0,978	0,984	0,974	0,980	0,964	0,966
326	0,992	0,988	0,978	0,980	0,969	0,980	0,966	0,964
327	0,982	0,988	0,978	0,979	0,971	0,980	0,966	0,964
328	0,981	0,988	0,983	0,980	0,974	0,979	0,957	0,964
329	0,992	0,996	0,983	0,978	0,971	0,982	0,957	0,957
330	0,992	0,986	0,983	0,979	0,969	0,979	0,966	0,957
331	0,981	0,988	0,983	0,984	0,974	0,982	0,964	0,951
332	0,985	0,988	0,983	0,984	0,974	0,980	0,966	0,957
333	0,992	0,996	0,979	0,980	0,971	0,982	0,957	0,951
334	0,992	0,986	0,983	0,979	0,974	0,982	0,964	0,964
335	0,982	0,986	0,978	0,980	0,974	0,979	0,957	0,951
336	0,985	0,986	0,983	0,978	0,974	0,984	0,951	0,957
337	0,981	0,988	0,979	0,984	0,971	0,982	0,966	0,964
338	0,985	0,996	0,978	0,984	0,971	0,982	0,966	0,966
339	0,982	0,996	0,978	0,984	0,969	0,984	0,966	0,966
340	0,982	0,996	0,978	0,984	0,979	0,980	0,966	0,957
341	0,982	0,988	0,978	0,979	0,971	0,982	0,964	0,964
342	0,985	0,988	0,978	0,978	0,979	0,979	0,951	0,951
343	0,992	0,988	0,978	0,978	0,974	0,979	0,951	0,957
344	0,985	0,996	0,979	0,978	0,974	0,982	0,951	0,957
345	0,992	0,996	0,983	0,980	0,974	0,980	0,957	0,966
346	0,981	0,996	0,979	0,980	0,974	0,980	0,966	0,957
347	0,985	0,986	0,983	0,980	0,969	0,980	0,957	0,966
348	0,985	0,996	0,978	0,980	0,969	0,984	0,951	0,957
349	0,982	0,988	0,983	0,978	0,974	0,980	0,957	0,966
350	0,982	0,996	0,983	0,980	0,974	0,984	0,957	0,964
351	0,985	0,986	0,979	0,978	0,971	0,984	0,964	0,957
352	0,985	0,996	0,978	0,984	0,971	0,984	0,957	0,964
353	0,985	0,996	0,983	0,978	0,979	0,984	0,964	0,964
354	0,992	0,988	0,983	0,979	0,969	0,982	0,951	0,951
355	0,992	0,996	0,979	0,984	0,969	0,984	0,964	0,957
356	0,985	0,986	0,978	0,978	0,969	0,979	0,957	0,964
357	0,985	0,988	0,983	0,978	0,969	0,984	0,964	0,951
358	0,982	0,988	0,979	0,980	0,969	0,979	0,964	0,957
359	0,982	0,988	0,978	0,984	0,969	0,980	0,966	0,957
360	0,985	0,988	0,978	0,984	0,969	0,980	0,951	0,951
361	0,985	0,988	0,978	0,984	0,969	0,982	0,964	0,951
362	0,982	0,988	0,978	0,979	0,971	0,984	0,964	0,966
363	0,982	0,988	0,979	0,978	0,979	0,979	0,957	0,957
364	0,981	0,988	0,983	0,980	0,979	0,979	0,957	0,964
365	0,992	0,988	0,979	0,978	0,971	0,979	0,966	0,964
366	0,985	0,988	0,983	0,978	0,979	0,984	0,957	0,964
367	0,982	0,986	0,979	0,984	0,969	0,979	0,951	0,964
368	0,981	0,986	0,978	0,979	0,971	0,984	0,966	0,966
369	0,982	0,986	0,979	0,978	0,979	0,984	0,957	0,966
370	0,992	0,988	0,978	0,979	0,974	0,984	0,957	0,951
371	0,985	0,996	0,979	0,984	0,969	0,980	0,951	0,957
372	0,985	0,988	0,978	0,984	0,971	0,984	0,966	0,957
373	0,992	0,988	0,978	0,979	0,974	0,980	0,964	0,957
374	0,992	0,988	0,978	0,980	0,974	0,982	0,966	0,951
375	0,992	0,988	0,983	0,979	0,974	0,982	0,957	0,951
376	0,981	0,996	0,978	0,984	0,979	0,982	0,966	0,964
377	0,981	0,996	0,983	0,980	0,974	0,984	0,964	0,966
378	0,981	0,996	0,978	0,979	0,979	0,982	0,966	0,966
379	0,985	0,986	0,978	0,984	0,969	0,984	0,964	0,966
380	0,982	0,996	0,979	0,978	0,979	0,980	0,964	0,951
381	0,982	0,986	0,983	0,979	0,971	0,979	0,966	0,964
382	0,992	0,986	0,978	0,984	0,971	0,984	0,957	0,951
383	0,981	0,988	0,978	0,978	0,979	0,979	0,957	0,966
384	0,982	0,988	0,978	0,979	0,971	0,984	0,951	0,957
385	0,982	0,996	0,978	0,979	0,979	0,979	0,951	0,964
386	0,985	0,986	0,983	0,979	0,971	0,984	0,951	0,964
387	0,992	0,996	0,978	0,978	0,969	0,979	0,966	0,964
388	0,981	0,986	0,978	0,984	0,974	0,980	0,951	0,964
389	0,981	0,986	0,978	0,984	0,969	0,979	0,957	0,966
390	0,985	0,988	0,978	0,978	0,971	0,980	0,964	0,964
391	0,992	0,988	0,978	0,984	0,979	0,984	0,957	0,951
392	0,985	0,996	0,983	0,978	0,969	0,979	0,966	0,951
393	0,992	0,988	0,978	0,980	0,969	0,984	0,951	0,951
394	0,992	0,988	0,978	0,984	0,974	0,980	0,957	0,957
395	0,981	0,996	0,983	0,978	0,971	0,982	0,966	0,951
396	0,985	0,988	0,983	0,984	0,974	0,979	0,966	0,966
397	0,981	0,988	0,978	0,979	0,971	0,982	0,966	0,957
398	0,982	0,988	0,978	0,984	0,979	0,982	0,951	0,957
399	0,981	0,988	0,979	0,978	0,969	0,980	0,957	0,957
400	0,992	0,986	0,983	0,984	0,969	0,980	0,964	0,964
401	0,985	0,996	0,979	0,980	0,979	0,979	0,951	0,966
402	0,985	0,988	0,978	0,984	0,971	0,984	0,951	0,966
403	0,985	0,988	0,983	0,980	0,979	0,984	0,957	0,964
404	0,985	0,988	0,979	0,979	0,979	0,980	0,966	0,957
405	0,985	0,988	0,978	0,980	0,969	0,979	0,964	0,957
406	0,985	0,988	0,979	0,984	0,979	0,982	0,966	0,957
